,0.1037037037037037
a62,0.11060606060606061
cl70,0.13657407407407407
i58,0.10476190476190475
c58,0.10476190476190475
v66,0.0867003367003367
a58,0.10225442834138486
s66,0.08333333333333334
a70,0.10357142857142856
cl62,0.1225
i66,0.12077294685990338
v58,0.1225
s62,0.0757142857142857
c70,0.13505747126436782
cl58,0.13461538461538464
i70,0.10795454545454546
v62,0.1
a66,0.10347826086956521
c62,0.10869565217391304
s70,0.125
cl66,0.1201923076923077
i62,0.7801857585139318
v70,0.6532738095238095
c66,0.55
s58,0.8466386554621849
