,0.3759682599659928,0.7033991813659668
a70,0.2602040816326531,0.9990329146385193
cl62,0.36699770817417876,0.9396077990531921
i66,0.28202614379084967,0.5415866374969482
v58,0.6017138599105812,0.9994180202484131
s62,0.33666666666666667,0.9955613017082214
c70,0.32639634801288936,0.5566138029098511
cl58,0.26815476190476195,0.6347321271896362
i70,0.10259399591955698,0.9816585779190063
v62,0.5871212121212122,0.5300494432449341
a66,0.22638326585695007,0.16973450779914856
c62,0.2651302349336057,0.5898370146751404
s70,0.648989898989899,0.5345231294631958
cl66,0.31931818181818183,0.15468984842300415
i62,0.6647046457851586,0.9999590516090393
v70,0.4069264069264069,0.9997390508651733
c66,0.5205559146735618,0.9998053312301636
s58,0.5979954034729316,0.9999340176582336
a62,0.49341430037632567,0.9998124837875366
cl70,0.5325657894736842,0.5410313010215759
i58,0.5158730158730158,0.5336431860923767
c58,0.5805405405405405,0.9999220967292786
v66,0.25975499092558985,0.9043201208114624
a58,0.28007128007128007,0.9991304874420166
s66,0.7737967914438503,0.9999688863754272
