,0.6360287171736255,0.9698649644851685
a66,0.14089481946624804,0.7543971538543701
c62,0.44935064935064933,0.9997763633728027
s70,0.25098039215686274,0.7945783138275146
cl66,0.8189269746646797,0.9999991655349731
i62,0.4795121951219512,0.5394533276557922
v70,0.40950590762620837,0.9997614026069641
c66,0.4264880952380952,0.9926532506942749
s58,0.6912707665403672,0.9999957084655762
a62,0.30573593073593075,0.6186451315879822
cl70,0.622638326585695,0.5118331909179688
i58,0.24336057201225741,0.1863488405942917
c58,0.625,0.99989914894104
v66,0.18011363636363636,0.6307930946350098
a58,0.6290729451334875,0.5449429154396057
s66,0.6691197691197691,0.9998306035995483
a70,0.3769230769230769,0.9923716187477112
cl62,0.6435137895812053,0.9999972581863403
i66,0.6652411905576463,0.9999577403068542
v58,0.43881578947368427,0.9986568689346313
s62,0.3204365079365079,0.8990297317504883
c70,0.4006756756756757,0.9994244575500488
cl58,0.30323653962492436,0.9857372045516968
i70,0.1881001881001881,0.9916452169418335
v62,0.7529411764705882,0.9996323585510254
