,0.3382769695824674,0.959301233291626
cl62,0.37362637362637363,0.9997010231018066
i66,0.11848739495798319,0.6613298654556274
v58,0.2888888888888889,0.9986687898635864
s62,0.46870342771982115,0.9979450702667236
c70,0.3091869918699187,0.87676602602005
cl58,0.3520408163265306,0.9974997043609619
i70,0.2988095238095238,0.22036735713481903
v62,0.4348586417953949,0.5831645131111145
a66,0.3582251082251082,0.9926187992095947
c62,0.40688259109311736,0.9992967844009399
s70,0.2598314606741573,0.989568293094635
cl66,0.4703282828282828,0.9996073842048645
i62,0.28238636363636366,0.9946657419204712
v70,0.37628757620348957,0.24505576491355896
c66,0.4199134199134199,0.5535811185836792
s58,0.5771170006464124,0.07909459620714188
a62,0.3052860061287027,0.6489303708076477
cl70,0.3963393773520356,0.9996970891952515
i58,0.17368421052631577,0.8714574575424194
c58,0.4384920634920635,0.5749890208244324
v66,0.5082432432432433,0.9994547367095947
a58,0.3647912885662432,0.20159727334976196
s66,0.39006039006039006,0.9995949268341064
a70,0.446524064171123,0.9997246265411377
