,0.6665407141507651,0.9999912977218628
a58,0.40463108320251173,0.9628349542617798
s66,0.4676088617265088,0.9998685121536255
a70,0.21045751633986928,0.13551735877990723
cl62,0.7609289617486339,0.9999832510948181
i66,0.5888617886178862,0.9997340440750122
v58,0.5366541353383458,0.9999972581863403
s62,0.6547619047619048,0.7254689335823059
c70,0.4814194112503643,0.9989291429519653
cl58,0.5865800865800865,0.5351263880729675
i70,0.5774291497975709,0.5458252429962158
v62,0.4410750766087845,0.5941213369369507
a66,0.48737373737373735,0.9998697638511658
c62,0.4721590909090909,0.9997824430465698
s70,0.7380702123186882,0.9941840171813965
cl66,0.6146464646464647,0.9998001456260681
i62,0.7034259857789269,0.999972403049469
v70,0.4305413687436159,0.8594491481781006
c66,0.6125555935682518,0.957492470741272
s58,0.6368421052631579,0.9999550580978394
a62,0.5833333333333333,0.9998594522476196
cl70,0.7340540540540541,0.9999694228172302
i58,0.43133696309739866,0.6629204750061035
c58,0.45940995940995943,0.9993237257003784
v66,0.7315508021390374,0.5528337359428406
