,0.5751936519931986,0.5395588278770447
a70,0.31946624803767665,0.9996323585510254
cl62,0.5554621848739496,0.9999070167541504
i66,0.4137254901960784,0.9998890161514282
v58,0.7842771982116244,0.9435831904411316
s62,0.5770731707317074,0.99996018409729
c70,0.4057465091299678,0.5504878759384155
cl58,0.44315476190476194,0.5395624041557312
i70,0.19841154182454096,0.4091581106185913
v62,0.4074675324675324,0.9957635402679443
a66,0.3259109311740891,0.5505840182304382
c62,0.2830694586312564,0.6980222463607788
s70,0.7828282828282829,0.9994208216667175
cl66,0.5761363636363637,0.5449084639549255
i62,0.8031322261929787,0.9999897480010986
v70,0.5494949494949495,0.5965242385864258
c66,0.8022624434389141,0.999977707862854
s58,0.638215015321757,0.9999922513961792
a62,0.7197228874444064,0.9999974966049194
cl70,0.5575657894736843,0.999590277671814
i58,0.7271825396825398,0.24333499372005463
c58,0.7237837837837837,0.6862969398498535
v66,0.40101330913490624,0.9828702807426453
a58,0.41862191862191866,0.997631311416626
s66,0.8700534759358289,0.9990101456642151
