,0.5373843312263489
s66,0.0715920478105545
a70,0.6377832889556885
cl62,0.9300855398178101
i66,0.9549038410186768
v58,0.535635232925415
s62,0.13314279913902283
c70,0.10763750225305557
cl58,0.10852283239364624
i70,0.10701732337474823
v62,0.10019098222255707
a66,0.9968640804290771
c62,0.0642940104007721
s70,0.10279601067304611
cl66,0.4509766101837158
i62,0.15309365093708038
v70,0.564821183681488
c66,0.07581503689289093
s58,0.9046738147735596
a62,0.5498017072677612
cl70,0.5381131172180176
i58,0.46088820695877075
c58,0.555862307548523
v66,0.15533703565597534
a58,0.4956611096858978
