,0.10317460317460317
c66,0.1509090909090909
s58,0.13392857142857142
a62,0.1158008658008658
cl70,0.19523809523809524
i58,0.15641711229946526
c58,0.3208333333333333
v66,0.14285714285714285
a58,0.13541666666666666
s66,0.11145510835913312
a70,0.14638157894736842
cl62,0.12440191387559808
i66,0.13025210084033612
v58,0.05
s62,0.1213235294117647
c70,0.17894736842105263
cl58,0.185
i70,0.12878787878787878
v62,0.13025210084033612
a66,0.2
c62,0.17914438502673796
s70,0.4807692307692308
cl66,0.3705357142857143
i62,0.345
v70,0.478021978021978
