,0.34526733421500094,0.5716660022735596
a62,0.4195447409733124,0.9997382164001465
cl70,0.33048128342245986,0.9953951835632324
i58,0.23333333333333334,0.6194056272506714
c58,0.518628912071535,0.5580760836601257
v66,0.23585365853658535,0.9989113211631775
a58,0.3854726100966702,0.999802827835083
s66,0.3744047619047619,0.9044164419174194
a70,0.3177645001457301,0.998858630657196
cl62,0.5319264069264069,0.9998906850814819
i66,0.2783400809716599,0.892547607421875
v58,0.38374616956077634,0.9942982792854309
s62,0.5896464646464646,0.09973816573619843
c70,0.26477272727272727,0.9873692393302917
cl58,0.7053815429892789,0.5319994688034058
i70,0.49949494949494944,0.9995769262313843
v62,0.43510019392372334,0.9993159174919128
a66,0.2827502553626149,0.99892258644104
c62,0.463479302086897,0.7860952615737915
s70,0.4055921052631579,0.9997235536575317
cl66,0.4573412698412698,0.9990025758743286
i62,0.4814864864864865,0.9996945858001709
v70,0.2119630973986691,0.9893566370010376
c66,0.455004455004455,0.979438841342926
s58,0.5491978609625668,0.9439477920532227
