,0.5286227092386171,0.9998226165771484
i70,0.2370486656200942,0.382933109998703
v62,0.4372039724980902,0.9997438788414001
a66,0.2647058823529412,0.9961643218994141
c62,0.530675608544461,0.9996129274368286
s70,0.5117073170731707,0.9999269247055054
cl66,0.4532760472610097,0.999651312828064
i62,0.49434523809523806,0.5431147217750549
v70,0.4212328767123288,0.9997929334640503
c66,0.5059523809523809,0.999890923500061
s58,0.6217948717948718,0.9999533891677856
a62,0.4525025536261491,0.9997250437736511
cl70,0.6843434343434344,0.47066813707351685
i58,0.43011363636363636,0.9996726512908936
c58,0.7753836451545091,0.9999849796295166
v66,0.5663059163059163,0.5582242012023926
a58,0.6131868131868132,0.9999021291732788
s66,0.5313457609805925,0.8207420706748962
a70,0.25744098528908654,0.6707931160926819
cl62,0.34539473684210525,0.5627061128616333
i66,0.4017857142857143,0.8839623928070068
v58,0.7068918918918918,0.6315525770187378
s62,0.5145190562613431,0.9997832775115967
c70,0.3415998415998416,0.9954497218132019
cl58,0.7251336898395722,0.999782919883728
