,0.3178726620064236,0.6121089458465576
s62,0.3281004709576138,0.9988827705383301
c70,0.2994652406417112,0.850360631942749
cl58,0.33398692810457514,0.9994560480117798
i70,0.3293591654247392,0.11879381537437439
v62,0.46983739837398375,0.9995786547660828
a66,0.3583512352309345,0.9994165301322937
c62,0.28988095238095235,0.5580710172653198
s70,0.40301661323229376,0.9997007846832275
cl66,0.38203463203463206,0.6293343305587769
i62,0.5843454790823213,0.9999997019767761
v70,0.2140577119509704,0.9854651093482971
c66,0.35353535353535354,0.9931502342224121
s58,0.24829545454545454,0.6048592329025269
a62,0.6128862728610469,0.5896846055984497
cl70,0.41067821067821064,0.9996888041496277
i58,0.5923076923076923,0.9997550249099731
c58,0.5072778345250255,0.9997567534446716
v66,0.4630516592541909,0.9997507333755493
a58,0.2763157894736842,0.9992618560791016
s66,0.43154761904761907,0.5766573548316956
a70,0.3274324324324324,0.9977642297744751
cl62,0.20795523290986087,0.7804820537567139
i66,0.16107316107316108,0.5681312084197998
v58,0.6796791443850267,0.6846438646316528
