,0.5216323446060835,0.9982497096061707
v62,0.3916797488226059,0.9998044371604919
a66,0.12375859434682963,0.6537183523178101
c62,0.18627450980392157,0.23211121559143066
s70,0.5905365126676603,0.999495267868042
cl66,0.3613821138211382,0.5662554502487183
i62,0.3270676691729323,0.9988856315612793
v70,0.23809523809523808,0.9793578386306763
c66,0.2973622850480909,0.8887964487075806
s58,0.2435064935064935,0.6447000503540039
a62,0.474527665317139,0.9093478918075562
cl70,0.19247957099080693,0.7501325607299805
i58,0.5776515151515151,0.999964714050293
c58,0.35113636363636364,0.9965920448303223
v66,0.6228715577044356,0.5404273867607117
a58,0.454040404040404,0.9009337425231934
s66,0.5499676793794441,0.7371626496315002
a70,0.2944330949948928,0.5359653234481812
cl62,0.46262401642148476,0.9995701909065247
i66,0.28092105263157896,0.27724745869636536
v58,0.6259920634920635,0.09760574996471405
s62,0.40972972972972976,0.9988788366317749
c70,0.3072444041137326,0.9979923963546753
cl58,0.48698148698148697,0.9998262524604797
i70,0.22566844919786097,0.7560412883758545
