,0.5826563385603628,0.9684892892837524
c70,0.4407378335949764,0.5429925322532654
cl58,0.4051184110007639,0.9983969926834106
i70,0.4441176470588235,0.9999744892120361
v62,0.501987083954297,0.6189846992492676
a66,0.5606504065040651,0.9996654987335205
c62,0.6891783029001074,0.9999961853027344
s70,0.6788690476190475,0.9999897480010986
cl66,0.6722529874672107,0.7019513249397278
i62,0.675865800865801,0.5549840927124023
v70,0.6351214574898785,0.9999662637710571
c66,0.463546986721144,0.9997721314430237
s58,0.7373737373737375,0.5425944328308105
a62,0.43579545454545454,0.9998314380645752
cl70,0.7774858103846962,0.9999797940254211
i58,0.6061327561327561,0.9999748468399048
c58,0.7610859728506787,0.9990782737731934
v66,0.7234422880490297,0.999974250793457
a58,0.8252651385562778,0.5320413112640381
s66,0.6414473684210527,0.999994158744812
a70,0.5396825396825398,0.9998289942741394
cl62,0.7728378378378378,0.9999955892562866
i66,0.3663036902601331,0.6361396908760071
v58,0.7780417780417781,0.999993085861206
s62,0.9545454545454546,0.9999961853027344
