,0.508738100528717
cl58,0.9553505778312683
i70,0.9876744747161865
v62,0.7018946409225464
a66,0.23645369708538055
c62,0.10825837403535843
s70,0.2557082176208496
cl66,0.9988605380058289
i62,0.35135799646377563
v70,0.3607224225997925
c66,0.5519174933433533
s58,0.5413845181465149
a62,0.5788600444793701
cl70,0.5697163343429565
i58,0.16459327936172485
c58,0.2002781480550766
v66,0.21975548565387726
a58,0.9998636245727539
s66,0.5685872435569763
a70,0.9681467413902283
cl62,0.8867144584655762
i66,0.9684548377990723
v58,0.23213273286819458
s62,0.27217525243759155
c70,0.61595219373703
