,0.5390137918004911,0.9999545812606812
c66,0.4379905808477237,0.5320076942443848
s58,0.31871657754010696,0.5658464431762695
a62,0.38921568627450975,0.999891996383667
cl70,0.5546448087431693,0.9998432397842407
i58,0.39439024390243904,0.9999138116836548
c58,0.6278195488721805,0.7880235910415649
v66,0.46458333333333335,0.9998805522918701
a58,0.365636840571262,0.9988138675689697
s66,0.3712121212121212,0.34987127780914307
a70,0.3625168690958165,0.570625901222229
cl62,0.3167134831460674,0.999123215675354
i66,0.6445707070707071,0.5447058081626892
v58,0.2,0.8631321787834167
s62,0.4930628547403826,0.9988573789596558
c70,0.4041125541125541,0.5574678182601929
cl58,0.690885585003232,0.9999551773071289
i70,0.23729570990806947,0.9478687047958374
v62,0.41994526171741364,0.9990278482437134
a66,0.1417763157894737,0.9947824478149414
c62,0.45039682539682535,0.6203253269195557
s70,0.6214864864864865,0.9998193979263306
cl66,0.3253932244404114,0.9983060359954834
i62,0.3146718146718147,0.9987788200378418
v70,0.5080213903743316,0.715108335018158
