,0.44294351029661816,0.999738335609436
c58,0.17896389324960754,0.9827604293823242
v66,0.2669977081741788,0.9995328187942505
a58,0.24444444444444444,0.5911201238632202
s66,0.4131892697466468,0.5996743440628052
a70,0.2526016260162602,0.9959907531738281
cl62,0.30947905477980664,0.8436323404312134
i66,0.1907738095238095,0.9312794208526611
v58,0.3071262022733897,0.998816967010498
s62,0.3079004329004329,0.5694679617881775
c70,0.22722672064777327,0.8958884477615356
cl58,0.17485955056179775,0.9932987689971924
i70,0.24558080808080807,0.9951660633087158
v62,0.18238636363636365,0.9100610017776489
a66,0.2963001891948707,0.7134218215942383
c62,0.38737373737373737,0.5441468954086304
s70,0.4084033613445378,0.9990652203559875
cl66,0.3447395301327886,0.6450260877609253
i62,0.4276428327061238,0.9891761541366577
v70,0.15921052631578947,0.9770850539207458
c66,0.314484126984127,0.9972434043884277
s58,0.5278378378378379,0.9996355772018433
a62,0.20372050816696913,0.7803850769996643
cl70,0.2746757746757747,0.9946029186248779
i58,0.6224598930481283,0.999498188495636
