,-0.34630411514597875
s70,-0.5081225409256231
cl66,-0.3258848195562305
i62,-0.14975448551868376
v70,-0.17649789833315307
c66,-0.18852874813362697
s58,-0.22843416300943892
a62,-0.15617302759077523
cl70,-0.1646791296329492
i58,-0.260312701750531
c58,-0.1134004989076708
v66,-0.2428028577109389
a58,-0.07235093037758049
s66,-0.10272846652252822
a70,-0.280889353493052
cl62,-0.22884612968702722
i66,-0.20614402973671475
v58,-0.35976070912174973
s62,-0.20095380320100092
c70,-0.10634409397285456
cl58,-0.33362064810750364
i70,-0.2597417764550783
v62,-4.154108410425945
a66,-0.5679749570429172
c62,-4.538673356603685
