,-0.12205808257732213
a70,-0.08406418771836435
cl62,-0.08277561476753967
i66,-0.055190969369199316
v58,-0.025635091403036228
s62,-0.06006774597087291
c70,-0.06852714025277697
cl58,-0.12984986756529712
i70,-0.14546037048585786
v62,-0.09073077954644512
a66,-0.04586030507997017
c62,-0.10423850723340247
s70,-0.010303699823521771
cl66,-0.021824662514022843
i62,-0.07298613788945339
v70,-0.014623657044442762
c66,-0.06497890880587827
s58,-0.4025218845419508
a62,-0.20328874534191343
cl70,-0.03933538624383975
i58,-0.11428041407832931
c58,-1.0827185888609352
v66,-0.2380345147801695
a58,-2.3051950910381094
s66,-4.468102490361343
