,-0.29861905770885316
v66,-0.4243496824035254
a58,-0.2801336117703973
s66,-0.1993931959064149
a70,-0.27202325944164185
cl62,-0.22279434776002943
i66,-0.11519261512702944
v58,-0.15618954943540334
s62,-0.16388149940595792
c70,-0.23568496584295073
cl58,-0.07433911546240154
i70,-0.2457885222571144
v62,-0.07701644540036368
a66,-0.11732424358622688
c62,-0.24749505555233187
s70,-0.2506994912096305
cl66,-0.2185842403132718
i62,-0.2992202418308577
v70,-0.22790469019039836
c66,-0.1645339432567648
s58,-0.31520880189659617
a62,-4.412219721411679
cl70,-4.3715239980561575
i58,-1.6166374257390215
c58,-2.4587261187554246
