,-0.3127212582901371
c62,-0.3418535363896339
s70,-0.2184060232024099
cl66,-0.20829705397034431
i62,-0.2606167552054468
v70,-0.2755762248347267
c66,-0.2213085524171982
s58,-0.16436269020488184
a62,-0.20005659619598462
cl70,-0.26168629225197154
i58,-0.16122189943756993
c58,-0.20966152848793762
v66,-0.12904074374209581
a58,-0.12856894063600238
s66,-0.37041552003413925
a70,-0.14768520875479246
cl62,-0.22115563104594566
i66,-0.33098990257089544
v58,-0.20858401852174865
s62,-0.10013276395794639
c70,-0.18049870051121397
cl58,-4.343799319416816
i70,-0.5944495327202137
v62,-1.8661410678544552
a66,-1.7816528962728668
