,0.0
i66,-0.013662461056316641
v58,-0.04526342059878949
s62,-0.012456949786641644
c70,0.0
cl58,-0.014792627871636954
i70,0.0
v62,-0.02958525574327391
a66,0.0
c62,-0.08619916931638348
s70,0.0
cl66,0.0
i62,-0.014211372295223847
v70,-0.06584944527407872
c66,-0.06183151302006714
s58,-0.013235509148306747
a62,-0.04612771505152451
cl70,-0.04982779914656658
i58,-0.17378453271349803
c58,-0.07977191856503116
v66,-0.03340960777255194
a58,-1.3331314799634157
s66,-0.49581507453642126
a70,-0.037377026271038526
cl62,-0.5988552208512871
