,-0.21942502366574987
s66,-0.5467119291425644
a70,-0.28510207521807
cl62,-0.2021273158383511
i66,-0.2541147779691275
v58,-0.2652024934949402
s62,-0.24196461145338088
c70,-0.14778726349362026
cl58,-0.19506508693960445
i70,-0.09351753234984002
v62,-0.12699940733472515
a66,-0.17232461365752175
c62,-0.17319076185256016
s70,-0.15562953363836834
cl66,-0.17070917169130595
i62,-0.23131508412876622
v70,-0.2757722619035998
c66,-0.2202452032826287
s58,-0.22414562651185563
a62,-0.23129869268603453
cl70,-0.24844312163585708
i58,-3.994690389837336
c58,-1.9230224130067555
v66,-1.9187497028307074
a58,-2.7437059326900615
