,-0.20472462505283243
i66,-0.3519553815110137
v58,-0.054487105280099105
s62,-0.05215246123098924
c70,-0.015492389146092826
cl58,-0.0634935948971205
i70,-0.031048357700480343
v62,-0.1980023124320684
a66,-0.051405460333265256
c62,-0.12340658010508095
s70,-0.04590054231267084
cl66,-0.04974162267122139
i62,-0.0756111770942195
v70,0.0
c66,-0.07298613788945339
s58,-0.017302548371498697
a62,-0.062064905972735264
cl70,-0.2357404912913877
i58,-0.09776144680367105
c58,-0.04463019400034288
v66,-0.1801726160423861
a58,-1.7276942892470601
s66,-1.1195044907229046
a70,-2.079617554981024
cl62,-4.355271439518796
