,-0.01619152829410564
v66,0.0
a58,-0.008234272227171846
s66,-0.014491760864078235
a70,-0.01646236131851968
cl62,-0.05190540691605666
i66,-0.014792627871636954
v58,-0.047717350508676315
s62,-0.020832221499701743
c70,-0.05369503131913592
cl58,-0.013149002552566182
i70,-0.013922473290952428
v62,-0.07119132484801713
a66,-0.019684905973998294
c62,-0.012031523582093136
s70,-0.026941590686318143
cl66,-0.10955332324737069
i62,-0.015778803063079418
v70,-0.017305784004667746
c66,-0.019684905973998294
s58,-0.025776397346207836
a62,-0.6108936955302962
cl70,-0.4039782068813599
i58,-0.6992559321225985
c58,-1.626083036965945
