,-0.30538897977659063
a62,-0.4688169239541084
cl70,-0.20491687322674665
i58,-0.18995040966811444
c58,-0.21169764602422642
v66,-0.1436950521962303
a58,-0.23534302590207293
s66,-0.1476265364472245
a70,-0.21963012245678043
cl62,-0.1772671477586547
i66,-0.15448183611320324
v58,-0.2034029846997183
s62,-0.0752908513137672
c70,-0.19309831235790154
cl58,-0.2563624823978459
i70,-0.17233843982406194
v62,-0.2098142154835639
a66,-0.19743769148931126
c62,-0.20692441736118528
s70,-0.21347294687709412
cl66,-0.2532354186633486
i62,-5.67202382709695
v70,-3.4380748295089525
c66,-2.7239191063895385
s58,-6.271273246768422
