,-0.31149264389276343
cl70,-0.4198082638080514
i58,-0.26245031993452694
c58,-0.16577944212783338
v66,-0.21045180892475887
a58,-0.3021616251575142
s66,-0.29737385450105414
a70,-0.18925080810488779
cl62,-0.15379847060389115
i66,-0.19548538009243216
v58,-0.11831283137545526
s62,-0.23617346395704103
c70,-0.16108481022737714
cl58,-0.13335170358759751
i70,-0.290615565751549
v62,-0.3060950246216638
a66,-0.3212445169996948
c62,-0.23387318102872295
s70,-0.22567411390713174
cl66,-0.10783338298892733
i62,-0.4264592219519091
v70,-3.73685015463312
c66,-2.739365779378104
s58,-2.1886370856413295
a62,-5.1560079839303254
