,-0.19672384381039024
i70,0.0
v62,-0.14682575722034635
a66,-0.013639304342661867
c62,-0.03944700765769854
s70,-0.06915093358211222
cl66,-0.04932372789118854
i62,-0.0859279684534608
v70,-0.04196207902245448
c66,-0.07931905318388593
s58,-0.015603968680109007
a62,-0.13312092904340964
cl70,-0.00817402792654797
i58,-0.013631602872112653
c58,-0.07298613788945339
v66,-0.014623657044442762
a58,-0.07353264250909768
s66,-0.22773039916416576
a70,-0.05484823230994861
cl62,-0.013118380748764211
i66,-0.09620707507316337
v58,-0.7525815028533481
s62,-0.15041972084557115
c70,-1.8070459869467252
cl58,-4.038213278115351
