,-0.1949458715419865
c70,-0.513802834155181
cl58,-0.1574287113531201
i70,-0.030746656819429792
v62,-0.03641262245326019
a66,-0.09591529945113539
c62,-0.01236127428904839
s70,-0.10186319250161845
cl66,-0.13810966067798344
i62,-0.14090574275285933
v70,-0.06994656563194027
c66,-0.13312092904340964
s58,-0.033257757600114256
a62,-0.021824662514022843
cl70,-0.025084755493050195
i58,-0.012208796829150497
c58,-0.04801425753085026
v66,-0.17199256409764874
a58,-0.09151184163261664
s66,-0.04319837321015307
a70,-0.11275435499730241
cl62,-1.0827185888609352
i66,-0.8392580145057238
v58,-3.1062370426060184
s62,-4.207166645308037
