,-0.3198528012523318
a58,-0.38396722084906326
s66,-0.24583360881932556
a70,-0.17127143206986625
cl62,-0.21391835127670084
i66,-0.17293423695128435
v58,-0.2275002436082831
s62,-0.15441415538470596
c70,-0.28123768971881974
cl58,-0.2672626366537691
i70,-0.13160562115249758
v62,-0.21043441885711572
a66,-0.14800890037592443
c62,-0.09563825351603912
s70,-0.24810957441874898
cl66,-0.23502216814946403
i62,-0.21793723330330017
v70,-0.370447729633947
c66,-0.21106572131737128
s58,-0.21294474359870968
a62,-0.33861428283598927
cl70,-5.340621974511906
i58,-3.3083979525751444
c58,-2.954008831978041
v66,-4.461682688658707
