,-0.2089677124954782
v70,-0.3377886097371552
c66,-0.2877230315246539
s58,-0.21666945922263342
a62,-0.2574866747256574
cl70,-0.22295865852719077
i58,-0.2312744474938372
c58,-0.1518377016375832
v66,-0.159174868807218
a58,-0.1803324082311102
s66,-0.11144131222995866
a70,-0.18139140297840398
cl62,-0.14083147482732056
i66,-0.09081487366798098
v58,-0.2435103024756243
s62,-0.20518296344574516
c70,-0.18032060848929965
cl58,-0.32713052247128704
i70,-0.23548176217372815
v62,-0.198540509477545
a66,-0.4065365805919433
c62,-4.42116846819554
s70,-4.403698243219495
cl66,-3.3574468225732788
i62,-4.9930185184489755
