,-0.22798801090447968
c58,-0.21386631557911798
v66,-0.14333826464329982
a58,-0.04675126209385405
s66,-0.025635091403036228
a70,-0.043202059348191
cl62,-0.026411922730933395
i66,-0.10352562709086177
v58,-0.02569898341296402
s62,-0.07375271700296934
c70,-0.0471149701651106
cl58,-0.19345297143691162
i70,-0.019649505737365413
v62,-0.02899486261314205
a66,-0.02855442601440447
c62,-0.1291296691264669
s70,-0.062064905972735264
cl66,-0.1666416419370404
i62,-0.10118206026468078
v70,-0.012027049617374391
c66,-0.13130858636706305
s58,-1.0303934555223524
a62,-1.203968552455763
cl70,-2.0879974558939716
i58,-3.7896172255681613
