,-0.012739260263392732
a58,-0.0944580958714154
s66,-0.08419693539910994
a70,-0.009060580660680455
cl62,-0.0225329210877704
i66,-0.06974935624876878
v58,-0.21103565786353012
s62,-0.036129960854603065
c70,0.0
cl58,-0.04195217307292679
i70,0.0
v62,-0.013922473290952428
a66,-0.07854963435100301
c62,-0.019684905973998294
s70,-0.05178762388808001
cl66,-0.051515027520633264
i62,-0.04382132929894828
v70,-0.10862718389076625
c66,-0.08938823786045816
s58,-0.048229183562739225
a62,-0.04942465286972688
cl70,-2.502515104483944
i58,-0.6434866652500002
c58,-1.4801855385131422
v66,-1.2711906588593513
