,-1.0250983832017473e-16
i62,-1.7982505318560854e-16
v70,-3.2871449649897025e-17
c66,-1.6301376678788163e-16
s58,-6.509696115042616e-17
a62,-4.621879922111074e-17
cl70,2.438452833747596e-16
i58,-1.180744461286382e-16
c58,2.1029652254288716e-16
v66,0.0
a58,0.0
s66,0.0
a70,7.73985800369748e-18
cl62,-1.348192992069398e-17
i66,-4.5942703864213076e-18
v58,-1.5291916048768622e-16
s62,-7.008166011102302e-17
c70,4.0649368223911776e-17
cl58,1.257670217143087e-16
i70,3.8240835121607066e-17
v62,1.3047200439950166e-16
a66,3.8677590475759536e-16
c62,0.16804846363812878
s70,7.481845932367127e-17
cl66,-2.3105169448882046e-17
