,1.0387666453219316e-17
i58,-2.98524972502401e-16
c58,1.0408011799555565e-16
v66,2.305558462217303e-16
a58,1.4840313815489732e-16
s66,-8.824028735428598e-17
a70,2.0906074926124715e-16
cl62,-2.7719291286947338e-17
i66,2.389867331932869e-17
v58,0.0
s62,0.0
c70,0.0
cl58,-2.3891976643070076e-16
i70,4.480431847444617e-17
v62,1.1570785581015697e-16
a66,-9.178572041232192e-17
c62,-4.253382889246359e-17
s70,-5.76575512119431e-17
cl66,-9.667353064794181e-17
i62,4.471519013084108e-17
v70,6.445220242605643e-17
c66,-5.147237416381961e-17
s58,-9.651478470448912e-17
a62,9.067471060497672e-17
cl70,-6.274837090435555e-17
