,-1.0139494510182194e-16
c66,-2.248324869450803e-16
s58,6.266207966732275e-17
a62,-9.513673149149623e-17
cl70,1.121213696710014e-16
i58,7.49726533195088e-17
c58,-7.297548509727597e-17
v66,-8.710158655322039e-17
a58,-9.962236010203045e-17
s66,-1.633203710268391e-17
a70,0.0
cl62,0.0
i66,-1.701191729862621e-16
v58,-1.3429328510051331e-16
s62,6.941775933443797e-17
c70,-4.3850103740090114e-17
cl58,1.0205743699351382e-17
i70,6.255926848893031e-17
v62,1.8726984469650725e-16
a66,1.2196426805406952e-17
c62,5.829039906419007e-17
s70,1.5255342648143301e-16
cl66,7.899520777304244e-18
i62,-1.7467353596327245e-17
v70,-1.2801054782098399e-16
