,-6.579138057656693e-17
v66,1.0337874000439379e-16
a58,-1.299674071463652e-17
s66,-3.9511441393945926e-17
a70,1.320898760951535e-16
cl62,-1.1189680324936273e-16
i66,-2.5477388094490103e-16
v58,5.77412569805047e-17
s62,5.243431144765787e-17
c70,0.0
cl58,4.829933402158453e-17
i70,0.0
v62,-1.0561507184142919e-16
a66,1.2849892310775865e-16
c62,1.5474191311118853e-17
s70,-3.676702469789769e-17
cl66,1.0094653636685727e-16
i62,1.4880256843880586e-16
v70,-2.0127066036954038e-16
c66,8.956902331856155e-17
s58,5.0006417882192e-17
a62,0.16804846363812848
cl70,0.25155130620756583
i58,-6.873395229461732e-17
c58,-6.77676879802353e-17
