,0.24759242000621312
s62,0.22087476291740904
c70,0.22929292929292927
cl58,0.2741228070175439
i70,0.24692317657727686
v62,0.3141713044658613
a66,0.2785714285714286
c62,0.24216959511077157
s70,0.22904091213950367
cl66,0.3225288586499503
i62,0.32192171630720073
v70,0.18871643261887164
c66,0.2348901098901099
s58,0.22315970727507534
a62,0.3008908389841777
cl70,0.27888228462116554
i58,0.4174923780487805
c58,0.3071908534750777
v66,0.29393939393939394
a58,0.28712871287128716
s66,0.33116883116883117
a70,0.49213293422365495
cl62,0.336734693877551
i66,0.27058910270589104
v58,0.6349518656454219
