,0.53125
c62,0.65625
s70,0.4609375
cl66,0.4375
i62,0.5546875
v70,0.59375
c66,0.4921875
s58,0.6171875
a62,0.6015625
cl70,0.5859375
i58,0.6015625
c58,0.5546875
v66,0.4609375
a58,0.578125
s66,0.578125
a70,0.3984375
cl62,0.515625
i66,0.5546875
v58,0.4765625
s62,0.5
c70,0.4140625
cl58,0.796875
i70,0.5390625
v62,0.6328125
a66,0.5390625
