,0.6527405381202698
cl58,0.197527676820755
i70,0.852601170539856
v62,0.9985748529434204
a66,0.9689342379570007
c62,0.7450491189956665
s70,0.9368553161621094
cl66,0.5377748012542725
i62,0.5315248370170593
v70,0.5869176387786865
c66,0.21246761083602905
s58,0.13977527618408203
a62,0.3122054934501648
cl70,0.9456427097320557
i58,0.9999301433563232
c58,0.10049042105674744
v66,0.10505491495132446
a58,0.8582077026367188
s66,0.9998220205307007
a70,0.4229624569416046
cl62,0.5471358299255371
i66,0.9874438643455505
v58,0.9996498823165894
s62,0.6667448282241821
c70,0.9993006587028503
