,0.9999377727508545
v58,0.5535427331924438
s62,0.5472002029418945
c70,0.9986147880554199
cl58,0.9998269081115723
i70,0.788813054561615
v62,0.9999366998672485
a66,0.35859620571136475
c62,0.9994158744812012
s70,0.9999898076057434
cl66,0.999578595161438
i62,0.7905494570732117
v70,0.6792845726013184
c66,0.861572802066803
s58,0.9999878406524658
a62,0.999868631362915
cl70,0.9998791813850403
i58,0.6138055324554443
c58,0.9992280006408691
v66,0.12918049097061157
a58,0.999783992767334
s66,0.9998635053634644
a70,0.9964401721954346
cl62,0.9997203946113586
i66,0.9988179802894592
