,0.5361667275428772
a62,0.43731558322906494
cl70,0.09105992317199707
i58,0.211374431848526
c58,0.5182293653488159
v66,0.539918065071106
a58,0.09023440629243851
s66,0.5298069715499878
a70,0.9938210248947144
cl62,0.08386863023042679
i66,0.5416975021362305
v58,0.5347129106521606
s62,0.07853713631629944
c70,0.9941038489341736
cl58,0.9996120929718018
i70,0.5951201915740967
v62,0.07456576079130173
a66,0.10057076066732407
c62,0.0840570330619812
s70,0.5405430197715759
cl66,0.08125045895576477
i62,0.9272364377975464
v70,0.7893221974372864
c66,0.5512614250183105
s58,0.9999938011169434
