,0.9998595714569092
cl70,0.963362455368042
i58,0.9998973608016968
c58,0.9984769821166992
v66,0.998725414276123
a58,0.9999790191650391
s66,0.9998492002487183
a70,0.9979935884475708
cl62,0.9995566606521606
i66,0.5577935576438904
v58,0.9942496418952942
s62,0.9994364976882935
c70,0.9997378587722778
cl58,0.8626421093940735
i70,0.9998153448104858
v62,0.9999856948852539
a66,0.5469995737075806
c62,0.9999767541885376
s70,0.5874648094177246
cl66,0.999692440032959
i62,0.5526415109634399
v70,0.99843430519104
c66,0.9985806941986084
s58,0.5979630351066589
a62,0.9996045231819153
