,0.5291191935539246
v62,0.9570822715759277
a66,0.9626418948173523
c62,0.3519155979156494
s70,0.9958714246749878
cl66,0.714673638343811
i62,0.9989793300628662
v70,0.24231667816638947
c66,0.9780271053314209
s58,0.47190722823143005
a62,0.23971572518348694
cl70,0.6717584133148193
i58,0.9999786615371704
c58,0.9140890836715698
v66,0.999943733215332
a58,0.9993342757225037
s66,0.5452519059181213
a70,0.8287285566329956
cl62,0.5398703217506409
i66,0.6117486953735352
v58,0.9999325275421143
s62,0.6059786677360535
c70,0.7182835340499878
cl58,0.9998193383216858
i70,0.8228760361671448
