,0.9999780654907227
a70,0.9996037483215332
cl62,0.9593462944030762
i66,0.5690745115280151
v58,0.9997720122337341
s62,0.9993403553962708
c70,0.9996858835220337
cl58,0.9997037649154663
i70,0.1942353993654251
v62,0.9963432550430298
a66,0.5545141100883484
c62,0.6160370111465454
s70,0.9997776746749878
cl66,0.9999623894691467
i62,0.9999992847442627
v70,0.9999089241027832
c66,0.999993085861206
s58,0.999983549118042
a62,0.9999978542327881
cl70,0.9996029138565063
i58,0.1726844757795334
c58,0.9999204874038696
v66,0.9989824295043945
a58,0.93345707654953
s66,0.9999961853027344
