,0.9999632835388184
cl66,0.5636354088783264
i62,0.9999557137489319
v70,0.9998648166656494
c66,0.9205055832862854
s58,0.6908848285675049
a62,0.533912718296051
cl70,0.721554160118103
i58,0.11392323672771454
c58,0.9999299049377441
v66,0.9998958110809326
a58,0.999915599822998
s66,0.9999763369560242
a70,0.997359037399292
cl62,0.9989526271820068
i66,0.9999679327011108
v58,0.9999997615814209
s62,0.9999929666519165
c70,0.9996270537376404
cl58,0.5311390161514282
i70,0.5722955465316772
v62,0.999934732913971
a66,0.6127634048461914
c62,0.9999318718910217
s70,0.9365613460540771
