,0.7641503810882568
s62,0.9992992877960205
c70,0.9995614290237427
cl58,0.9995086193084717
i70,0.9972398281097412
v62,0.9996909499168396
a66,0.9845908880233765
c62,0.5092474222183228
s70,0.9997682571411133
cl66,0.9995117783546448
i62,0.9998698234558105
v70,0.20734909176826477
c66,0.6254602670669556
s58,0.7359525561332703
a62,0.9999324083328247
cl70,0.9997880458831787
i58,0.9998759031295776
c58,0.5406632423400879
v66,0.9996480941772461
a58,0.9989817142486572
s66,0.5301271080970764
a70,0.9970741271972656
cl62,0.6973457336425781
i66,0.9922937154769897
v58,0.9999605417251587
