,0.5956388115882874
v66,0.8711647987365723
a58,0.9981940388679504
s66,0.6758244633674622
a70,0.5484927296638489
cl62,0.589979350566864
i66,0.9990071058273315
v58,0.9991397261619568
s62,0.9992314577102661
c70,0.9981545209884644
cl58,0.9996243715286255
i70,0.9295933246612549
v62,0.9999620914459229
a66,0.8601358532905579
c62,0.08540768921375275
s70,0.9979780912399292
cl66,0.9992738962173462
i62,0.9992846250534058
v70,0.9987529516220093
c66,0.9925329685211182
s58,0.5502336025238037
a62,0.21240516006946564
cl70,0.9996998310089111
i58,0.999823808670044
c58,0.9999834299087524
