,0.9802342653274536
a62,0.7965428829193115
cl70,0.7527985572814941
i58,0.9713668823242188
c58,0.9616868495941162
v66,0.923291802406311
a58,0.9793998003005981
s66,0.992557168006897
a70,0.9613826274871826
cl62,0.9801704287528992
i66,0.9976187348365784
v58,0.9604592323303223
s62,0.989370584487915
c70,0.9056437015533447
cl58,0.9968140721321106
i70,0.9604484438896179
v62,0.9994943141937256
a66,0.8374909162521362
c62,0.9885478019714355
s70,0.9865651726722717
cl66,0.9753426909446716
i62,0.9638444185256958
v70,0.9203020334243774
c66,0.9937876462936401
s58,0.9670910835266113
