,0.8949803709983826
i58,0.6649618744850159
c58,0.6949751377105713
v66,0.9287214279174805
a58,0.8666117191314697
s66,0.8900301456451416
a70,0.870134711265564
cl62,0.9207940101623535
i66,0.8953465819358826
v58,0.8995108008384705
s62,0.913472056388855
c70,0.9295696020126343
cl58,0.9846397042274475
i70,0.7713494896888733
v62,0.8440393209457397
a66,0.8949772119522095
c62,0.982413113117218
s70,0.8403301239013672
cl66,0.9868984222412109
i62,0.913202702999115
v70,0.9306132793426514
c66,0.9365062713623047
s58,0.9002729654312134
a62,0.9890600442886353
cl70,0.9426442384719849
