,0.8859114646911621
c62,0.7987439632415771
s70,0.6507269740104675
cl66,0.8755151033401489
i62,0.9322775602340698
v70,0.8676831722259521
c66,0.8628182411193848
s58,0.9083705544471741
a62,0.9046206474304199
cl70,0.9756569862365723
i58,0.9110614061355591
c58,0.9285840392112732
v66,0.9221238493919373
a58,0.9922494292259216
s66,0.8875836133956909
a70,0.866906464099884
cl62,0.9585202932357788
i66,0.8074508309364319
v58,0.9967606067657471
s62,0.9824343919754028
c70,0.8490625619888306
cl58,0.9578123688697815
i70,0.8178763389587402
v62,0.989345133304596
a66,0.8584045171737671
