,0.9032391309738159
a58,0.7021070122718811
s66,0.6668468713760376
a70,0.8121300935745239
cl62,0.5050181746482849
i66,0.8590026497840881
v58,0.870436429977417
s62,0.6858232021331787
c70,0.6609543561935425
cl58,0.9289398193359375
i70,0.8373949527740479
v62,0.9159949421882629
a66,0.8719354867935181
c62,0.7300667762756348
s70,0.5575551986694336
cl66,0.6647241115570068
i62,0.7557011842727661
v70,0.7741930484771729
c66,0.5576125979423523
s58,0.6368781328201294
a62,0.9047237634658813
cl70,0.7705844640731812
i58,0.6888794898986816
c58,0.972379207611084
v66,0.9297488331794739
