,0.21726808993009633
a70,0.19623233908948196
cl62,0.21504965622612682
i66,0.1833333333333333
v58,0.24668560606060608
s62,0.19414634146341464
c70,0.22341568206229862
cl58,0.18273809523809526
i70,0.08131740017487615
v62,0.21645021645021645
a66,0.17493252361673417
c62,0.16930541368743618
s70,0.21780303030303033
cl66,0.1965909090909091
i62,0.2022081373952157
v70,0.2520923520923521
c66,0.25539754363283773
s58,0.22605975485188967
a62,0.235545672254533
cl70,0.25592105263157894
i58,0.2976190476190476
c58,0.5737837837837838
v66,0.24001814882032668
a58,0.27457677457677454
s66,0.7112299465240641
