,0.22699792178348766
i70,0.1691522762951334
v62,0.21688311688311684
a66,0.16633986928104577
c62,0.25173869846000996
s70,0.27414634146341466
cl66,0.2635606874328679
i62,0.1877076411960133
v70,0.24183911396094437
c66,0.22294372294372294
s58,0.29605263157894735
a62,0.2487231869254341
cl70,0.2225331674958541
i58,0.24488636363636362
c58,0.18160337552742617
v66,0.2048340548340548
a58,0.28836457659987075
s66,0.24865934627170583
a70,0.1620766335956209
cl62,0.18486842105263157
i66,0.23115079365079366
v58,0.5337837837837838
s62,0.4174984875983061
c70,0.30006930006930005
cl58,0.611764705882353
