,0.03448275862068967
i66,0.061553030303030276
v58,0.03575989782886335
s62,0.048484848484848464
c70,0.01785714285714285
cl58,0.05057471264367813
i70,0.0474095796676442
v62,0.015151515151515138
a66,0.0357142857142857
c62,0.06624423963133641
s70,0.09102564102564104
cl66,0.05114942528735633
i62,0.02777777777777779
v70,0.0
c66,0.04999999999999999
s58,0.01785714285714285
a62,0.0537037037037037
cl70,0.06761786600496278
i58,0.03229166666666666
c58,0.036375661375661394
v66,0.06896551724137934
a58,0.5845383759733036
s66,0.4252688172043011
a70,0.5833333333333333
cl62,0.7391826923076923
