,0.03448275862068967
a66,0.07717803030303028
c62,0.03448275862068967
s70,0.033333333333333326
cl66,0.033333333333333326
i62,0.03448275862068967
v70,0.03128054740957964
c66,0.015151515151515138
s58,0.0357142857142857
a62,0.06797235023041476
cl70,0.09478021978021978
i58,0.0850574712643678
c58,0.03300865800865799
v66,0.033333333333333326
a58,0.04999999999999999
s66,0.01785714285714285
a70,0.037037037037037035
cl62,0.06451612903225806
i66,0.015625
v58,0.018518518518518545
s62,0.06896551724137934
c70,0.3270300333704116
cl58,0.24354838709677418
i70,0.4666666666666667
v62,0.6923076923076923
