,0.05233990147783252
v70,0.061553030303030276
c66,0.08390804597701146
s58,0.0636363636363636
a62,0.08448275862068966
cl70,0.05570291777188324
i58,0.0796676441837732
c58,0.058080808080808066
v66,0.06202651515151514
a58,0.10195852534562211
s66,0.12142857142857144
a70,0.0850574712643678
cl62,0.08202716823406475
i66,0.06515151515151513
v58,0.033333333333333326
s62,0.0714285714285714
c70,0.0537037037037037
cl58,0.13523573200992556
i70,0.048958333333333326
v62,0.07275132275132273
a66,0.08620689655172414
c62,0.8387096774193548
s70,0.7236559139784946
cl66,0.8166666666666667
i62,0.609375
