,0.035098522167487656
v66,0.015151515151515138
a58,0.053001277139208214
s66,0.0318181818181818
a70,0.03452380952380951
cl62,0.038461538461538436
i66,0.015151515151515138
v58,0.0
s62,0.01785714285714285
c70,0.0357142857142857
cl58,0.09102564102564104
i70,0.03390804597701147
v62,0.03300865800865799
a66,0.016666666666666663
c62,0.033333333333333326
s70,0.01785714285714285
cl66,0.0888888888888889
i62,0.04838709677419356
v70,0.03125
c66,0.03575989782886335
s58,0.051724137931034475
a62,0.29588431590656283
cl70,0.1946236559139785
i58,0.65
c58,0.5300480769230769
