,0.08743842364532017
cl70,0.061553030303030276
i58,0.07024265644955302
c58,0.0636363636363636
v66,0.08333333333333331
a58,0.09217506631299738
s66,0.09481915933528834
a70,0.07771260997067453
cl62,0.07717803030303028
i66,0.08410138248847926
v58,0.07341269841269843
s62,0.13620689655172413
c70,0.048160173160173125
cl58,0.06785714285714284
i70,0.06666666666666665
v62,0.08928571428571425
a66,0.0888888888888889
c62,0.1029776674937965
s70,0.06458333333333333
cl66,0.05218855218855217
i62,0.13793103448275862
v70,0.6520039100684262
c66,0.6580645161290323
s58,0.5
a62,0.7091346153846154
