,0.08743842364532017
s58,0.07402597402597405
a62,0.051724137931034475
cl70,0.08030303030303027
i58,0.06666666666666665
c58,0.05233990147783252
v66,0.10997067448680353
a58,0.06060606060606055
s66,0.06473214285714285
a70,0.08410138248847926
cl62,0.12692307692307692
i66,0.10172413793103446
v58,0.048160173160173125
s62,0.0672413793103448
c70,0.04999999999999999
cl58,0.08928571428571425
i70,0.0537037037037037
v62,0.09987593052109178
a66,0.06354166666666666
c62,0.04963427377220481
s70,0.08620689655172414
cl66,0.5129032258064516
i62,0.29677419354838713
v70,0.6666666666666666
c66,0.5588942307692308
