,-0.24070887515737194
i62,-0.4702400445773195
v70,-0.23934283330014733
c66,-0.2112294207461499
s58,-0.22645715916355022
a62,-0.21536689622493754
cl70,-0.22359270629956474
i58,-0.1683052831902896
c58,-0.15407335440411396
v66,-0.18997520991291128
a58,-0.10760166449542037
s66,-0.1551984138292701
a70,-0.12047660594980472
cl62,-0.1379681915684926
i66,-0.32698679545324194
v58,-0.2622079269857636
s62,-0.17967371142442298
c70,-0.08113827916326223
cl58,-0.2162882397415376
i70,-0.1363629971014983
v62,-0.546470418940444
a66,-2.484128031789629
c62,-3.172316361062457
s70,-1.769184562781304
cl66,-5.042072906320223
