,-0.32649107609309996
c66,-0.4858262811975548
s58,-0.3095960150794011
a62,-0.20550103645501788
cl70,-0.14380200014431033
i58,-0.16285049345115488
c58,-0.2267164485314156
v66,-0.16429650648996444
a58,-0.193264320160048
s66,-0.1556001758968664
a70,-0.07163107000357802
cl62,-0.19842134190315003
i66,-0.1320788721617115
v58,-0.0876070949678907
s62,-0.34231664930747874
c70,-0.07609965822040074
cl58,-0.21515860296431166
i70,-0.17854026580216092
v62,-0.21308777903807247
a66,-0.23077597289650803
c62,-0.25483739328063243
s70,-5.711066953564529
cl66,-3.1918659651983727
i62,-2.825591450027236
v70,-2.200792746963684
