,-0.22097787321877224
s66,-0.5067100504760045
a70,-0.1535908157376243
cl62,-0.08643193779032098
i66,-0.11069437225791098
v58,-0.04716556124853931
s62,-0.011402161587750089
c70,-0.10263264433762198
cl58,-0.07100461378385738
i70,-0.06718751953762522
v62,-0.06422521002950728
a66,-0.041214799294087084
c62,-0.03908634930197101
s70,-0.015403425467649308
cl66,-0.15092036460024733
i62,-0.046036553559327814
v70,-0.11901725739008474
c66,-0.21735384090098864
s58,-0.02357141960215977
a62,-0.13905738475495869
cl70,-0.1424449933431422
i58,-1.0918767665161508
c58,-0.13927338167848313
v66,-1.452260047340474
a58,-2.7283424865687906
