,-0.2970089712425204
v62,-0.12099766044001425
a66,-0.06806685100309565
c62,-0.05435987014184848
s70,-0.11333597680832569
cl66,-0.06159317083020256
i62,-0.013490186583813523
v70,-0.12965201430408196
c66,-0.014623657044442762
s58,-0.16596458005746054
a62,-0.04545639856301899
cl70,-0.105571587581616
i58,-0.008314439400028564
c58,-0.024220883422897098
v66,-0.07298613788945339
a58,-0.05438524278556788
s66,-0.06170280646373512
a70,-0.043952410037332
cl62,-0.09187449024659691
i66,-0.15938682326904205
v58,-0.2675459209444684
s62,-0.8799257252212596
c70,-0.2632258267999697
cl58,-2.43573437012321
i70,-1.4065248748780808
