,-0.2944959277056188
a70,-0.5117493724383535
cl62,-0.29882544622580665
i66,-0.26898046329440883
v58,-0.24505508930516962
s62,-0.2029228915203793
c70,-0.12174699915433314
cl58,-0.1576612463016983
i70,-0.1525340644598688
v62,-0.17467904472816856
a66,-0.13859128043960062
c62,-0.08962680451533238
s70,-0.10693140057151025
cl66,-0.09453562169613332
i62,-0.16964601973215662
v70,-0.2845718212159317
c66,-0.22784098241526893
s58,-0.3436563829699597
a62,-0.23601878819522612
cl70,-0.17203760919276515
i58,-0.31905016420715454
c58,-2.1155779924955147
v66,-0.6591733937428546
a58,-1.7025963188522226
s66,-3.923885890456292
